,id
0,3751450582
1,963379217575620613
2,827130210
3,2414748350
4,828168515651776512
5,197087759
6,378117390
7,3317233336
8,94701778
9,782107727896141824
10,333615851
11,882042452
12,82097756
13,372500128
14,1241040436904460294
15,80411320
16,937499232
17,224896427
18,39364684
19,990317363915579392
20,14642495
21,152785310
22,1182264523966894081
23,1084541629376139266
24,1235540411223101440
25,270459817
26,143841439
27,2808352396
28,424389241
29,1615913760
30,86088325
31,44376499
32,1183698123719200768
33,141627220
34,3515595192
35,409486555
36,1006419421244678144
37,51023770
38,597780554
39,15344145
40,17348735
41,1248996730940448774
42,168259012
43,62513246
44,2559918498
45,213243802
46,1123243104
47,27520838
48,806081867250339840
49,1245807651625320448
50,1177607668237770752
51,2223592112
52,960102762
53,717048221592227840
54,1228986908748984320
55,1231900459675287554
56,18798768
57,2363670413
58,131926473
59,1006795705
60,1002496867790356480
61,19424427
62,1660468830
63,93222172
64,224809483
65,2313027666
66,14073022
67,540812894
68,2813981183
69,636302247
70,2327625956
71,613469003
72,83689988
73,299629156
74,72583136
75,2990125936
76,117777690
77,226222147
78,20137622
79,243878865
80,3297800601
81,18635843
82,113392875
83,2376840078
84,16133530
85,15348883
86,19017675
87,20631422
88,1339835893
89,30354991
90,970207298
91,939091
92,1079104563280527364
93,357606935
94,1082334352711790593
95,44874400
96,31013444
97,435331179
98,783792992
99,138203134
100,125370749
101,1136394437012152326
102,31173665
103,2870653293
104,1073606435580325889
105,14475268
106,1181936905820266496
107,17336372
108,222748037
109,18020612
110,20000725
111,288755234
112,1071903579525578752
113,272473270
114,2315512764
115,735159109100638208
116,1092528243830345730
117,838860217790119937
118,21258337
119,23176276
120,1367531
121,14173315
122,14260960
123,18426419
124,74265849
125,22460658
126,47646874
127,160298112
128,20787486
129,252521025
130,14224719
131,1168968080690749441
132,65045121
133,512554477
134,86664924
135,173195708
136,722242009
137,308379387
138,885838630928994304
139,5838002
140,61660254
141,56679400
142,2425571623
143,94055847
144,943617228
145,16692154
146,236699098
147,32959253
148,23617610
149,79367880
150,1694099142
151,459390022
152,1115874631
153,487118986
154,87775422
155,303862998
156,3314721106
157,1060106027859931136
158,22046686
159,1898290184
160,331311644
161,160926944
162,594470164
163,465973
164,719213187074289665
165,4164932333
166,1562690419
167,814834039928524801
168,728121031441846272
169,579134754
170,867008498793684992
171,483928153
172,15846407
173,813286
174,25365536
175,723076987229630464
176,831115063499059201
177,4832848193
178,14159148
179,14499829
180,24234737
181,596502855
182,471287735
183,619050616
184,405605548
185,25073877
186,216299334
187,331672974
188,14157134
189,807095
190,2467791
191,1652541
192,136004952
193,8170292
194,61183568
195,2836421
196,2097571
197,5402612
198,742143
199,25247831
200,69571826
201,1344466075
